tconst,primaryTitle,startYear,the_numbers_url,scrape_success,scrape_error,plot_summary,franchise,has_plot_summary
tt1129445,Amelia,2009.0,https://www.the-numbers.com/movie/Amelia-(2009),True,,"From the time she first sits in the pilot’s seat, aviatrix Amelia Earhart feels destined to achieve great things. Beginning in 1928, she sets a number of aviation milestones, including numerous speed and altitude records, and was the first woman to fly solo across the Atlantic. In 1937, Amelia undertakes her greatest challenge of all: to become the first woman to circumnavigate the globe by airplane.",,True
tt1130080,The Informant!,2009.0,https://www.the-numbers.com/movie/Informant-The-(2009),True,,,,False
tt1130090,Old Dogs,2009.0,https://www.the-numbers.com/movie/Old-Dogs,True,,,,False
tt11301946,Beast,2022.0,https://www.the-numbers.com/movie/Beast-(2022),True,,"Dr. Nate Samuels is a recently widowed husband who returns to South Africa, where he first met his wife, on a long-planned trip with their daughters to a game reserve. But what begins as a journey of healing jolts into a fearsome fight for survival when a lion, a survivor of blood-thirsty poachers who now sees all humans as the enemy, begins stalking them.",,True
tt11304740,Wish,2023.0,https://www.the-numbers.com/movie/Wish-(2023),True,,"Asha, a sharp-witted idealist makes a wish so powerful that it is answered by a cosmic force—a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe—the ruler of Rosas, King Magnifico—to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",,True
tt1130884,Shutter Island,2010.0,https://www.the-numbers.com/movie/Shutter-Island-(2010),True,,"The implausible escape of a brilliant murderess brings U.S. Marshal Teddy Daniels and his new partner to Ashecliffe Hospital, a fortress-like insane asylum located on a remote, windswept island. The woman appears to have vanished from a locked room, and there are hints of terrible deeds committed within the hospital walls. As the investigation deepens, Teddy realizes he will have to confront his own dark fears if he hopes to make it off the island alive.",,True
tt11315808,Joker: Folie à Deux,2024.0,https://www.the-numbers.com/movie/Joker,True,,"Agastya is a researcher probing the existence of aliens in the universe, who returns to his small little native village. The out of luck Agastya takes it upon himself to put his crazy village on the global map and continues with his alien exploration from there. While his plan gets the village attention from across the world, it also comes with a great deal of risk. Will aliens save the day for Akshay? Or will his plans fall like a pack of cards?",,True
tt1131734,Jennifer's Body,2009.0,https://www.the-numbers.com/movie/Jennifers-Body,True,,,,False
tt1132626,Saw V,2008.0,https://www.the-numbers.com/movie/Saw-V-(2008),True,,,Saw,False
tt1133985,Green Lantern,2011.0,https://www.the-numbers.com/movie/Green-Lantern-(2011),True,,"In a universe as vast as it is mysterious, an elite, powerful force has existed for centuries. Protectors of peace and justice, they are called the Green Lantern Corps. Warriors sworn to keep intergalactic order, each Green Lantern wears a ring that grants him the ability to create anything his mind can imagine. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of their newest recruit, the first human ever selected: Hal Jordan. Hal is a gifted and cocky test pilot, but the Green Lanterns have little respect for humans, who have never harnessed the infinite powers of the ring before. But Hal's humanity is one weapon no member of the Corps has ever had, and if--with willpower, determination and the encouragement of fellow pilot and childhood sweetheart Carol Ferris--Hal can quickly master his new powers and find the courage to overcome his fears, he may prove to be not only the key to defeating Parallax...he will save the Earth and all of mankind from certain destruction.",,True
tt1135084,Takers,2010.0,https://www.the-numbers.com/movie/Takers-(2010),True,,"A notorious group of criminals baffle police by pulling off perfectly executed bank robberies. They are in and out like clockwork, leaving no evidence behind and laying low between heists. But when they attempt to pull off one last job with more money at stake than ever before, the crew may find their plans interrupted by a hardened detective who is hell-bent on solving the case.",,True
tt1135487,Duplicity,2009.0,https://www.the-numbers.com/movie/Duplicity,True,,,,False
tt1135503,Julie & Julia,2009.0,https://www.the-numbers.com/movie/Julie-and-Julia,True,,,,False
tt11358390,Renfield,2023.0,https://www.the-numbers.com/movie/Renfield,True,,"Renfield is the tortured aide to history’s most narcissistic boss, Dracula. Renfield is forced to procure his master’s prey and do his every bidding, no matter how debased. But now, after centuries of servitude, Renfield is ready to see if there’s a life outside the shadow of The Prince of Darkness. If only he can figure out how to end his codependency.",,True
tt11365186,Redeeming Love,2022.0,https://www.the-numbers.com/movie/Redeeming-Love,True,,"A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850. Angel expects only pain from those around her. Sold into prostitution as a child, Angel survives with hatred towards herself and the men that use her. She meets Michael Hosea, a farmer who believes God wants Angel to be his wife. Dire circumstances force Angel to accept his proposal, but when Michael defies her bitter expectations, her frozen heart begins to thaw. As Angel encounters a love unlike anything she ever experienced, feelings of unworthiness and shame cause her to run from a life she doesn’t think she deserves. As Michael sets out to find her, Angel discovers there is no brokenness that love can’t heal.",,True
tt1136608,District 9,2009.0,https://www.the-numbers.com/movie/District-9,True,,"Thirty years ago, aliens arrive on Earth — not to conquer or give aid, but — to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens’ welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",,True
tt1137450,Death Wish,2018.0,https://www.the-numbers.com/movie/Death-Wish-(2018),True,,"Dr. Paul Kersey is a surgeon who only sees the aftermath of his city’s violence when it is rushed into his ER — until his wife and college-age daughter are viciously attacked in their suburban home. With the police overloaded with crimes, Paul, burning for revenge, hunts his family’s assailants to deliver justice. As the anonymous slayings of criminals grabs the media’s attention, the city wonders if this deadly avenger is a guardian angel or a grim reaper. Fury and fate collide in the intense action-thriller Death Wish. Paul Kersey becomes a divided person: a man who saves lives, and a man who takes them; a husband and father trying to take care of his family, and a shadowy figure fighting crime; a surgeon extracting bullets from suspects’ bodies, and a man seeking justice that detectives are quickly closing in on.",,True
tt11389872,Kingdom of the Planet of the Apes,2024.0,https://www.the-numbers.com/movie/Kingdom-of-the-Planet-of-the-Apes-(2024),True,,"Set several generations in the future, following Caesar’s reign, in which apes are the dominant species living harmoniously and humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",Planet of the Apes,True
tt1139328,The Ghost Writer,2010.0,https://www.the-numbers.com/movie/Ghost-Writer-The,True,,"When a successful ghostwriter, the Ghost, agrees to finish the memoirs of Adam Long, England’s former prime minister, his publisher assures him it’s the chance of a lifetime. Instead, he begins to uncover evidence that suggests his late predecessor knew a dark secret about Lang and may have been murdered to prevent it from coming to light.",,True
tt1139668,The Unborn,2009.0,https://www.the-numbers.com/movie/Unborn-The-(2009),True,,,,False
tt1142798,The Family That Preys,2008.0,https://www.the-numbers.com/movie/Family-That-Preys-The,True,,,,False
tt1142800,Madea Goes to Jail,2009.0,https://www.the-numbers.com/movie/Madea-Goes-to-Jail-(2009),True,,,Madea Cinematic Universe,False
tt1142977,Frankenweenie,2012.0,https://www.the-numbers.com/movie/Frankenweenie,True,,"""Frankenweenie"" is a heartwarming tale about a boy and his dog. After unexpectedly losing his beloved dog Sparky, young Victor harnesses the power of science to bring his best friend back to life - with just a few minor adjustments. He tries to hide his home-sewn creation, but when Sparky gets out, Victor's fellow students, teachers and the entire town all learn that getting a new ""leash on life"" can be monstrous.",,True
tt1142988,The Ugly Truth,2009.0,https://www.the-numbers.com/movie/Ugly-Truth-The,True,,,,False
tt1144884,The Final Destination,2009.0,https://www.the-numbers.com/movie/Final-Destination-The,True,,"While enjoying a day at the track, Nick O’Bannon has a horrific premonition of his friends and him all dying in a freak accident involving many racecars. Mere seconds before the vision comes true, he manages to convince them to leave. Although they cheat death then, the survivors each begin to meet a grisly end, and Nick tries to figure a way to escape a similar fate.",Final Destination,True
tt1148204,Orphan,2009.0,https://www.the-numbers.com/movie/Orphan-(2009),True,,,,False
tt1152398,Beastly,2011.0,https://www.the-numbers.com/movie/Beastly,True,,"Seventeen year old Kyle is the spoiled, shallow and incredibly popular prince of his high school kingdom. Entirely captivated and empowered by his own physical appearance, Kyle foolishly chooses Kendra, a goth classmate rumored to be a witch, as his latest target for humiliation. Unfazed by his cruel behavior, Kendra decides to teach him a lesson - she transforms him into someone as unattractive on the outside as he is on the inside. Now he has one year to find someone who can see past the surface and love him, or he will remain ""Beastly"" forever. His only hope, an unassuming classmate he never noticed named Lindy, may be his best chance to prove that love is never ugly.",,True
tt1152836,Public Enemies,2009.0,https://www.the-numbers.com/movie/Public-Enemies-(2009),True,,,,False
