tconst,primaryTitle,startYear,the_numbers_url,found_url,normalized_title,kaggle_year,kaggle_title,Production_Countries
tt1628841,Independence Day: Resurgence,2016.0,https://www.the-numbers.com/movie/Independence-Day-Resurgence,True,independence day resurgence,2016,Independence Day: Resurgence,United States of America
tt1630029,Avatar: The Way of Water,2022.0,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022),True,avatar the way of water,2022,Avatar: The Way of Water,United States of America
tt1630036,Courageous,2011.0,https://www.the-numbers.com/movie/Courageous,True,courageous,2011,Courageous,United States of America
tt1631867,Edge of Tomorrow,2014.0,https://www.the-numbers.com/movie/Edge-of-Tomorrow,True,edge of tomorrow,2014,Edge of Tomorrow,United States of America
tt1632708,Friends with Benefits,2011.0,https://www.the-numbers.com/movie/Friends-with-Benefits,True,friends with benefits,2011,Friends with Benefits,United States of America
tt1633356,Shark Night,2011.0,https://www.the-numbers.com/movie/Shark-Night-3D,True,shark night,2011,Shark Night,United States of America
tt1634003,Underdogs,2013.0,https://www.the-numbers.com/movie/Underdogs,True,underdogs,2013,Underdogs,United States of America
tt1634106,Bloodshot,2020.0,https://www.the-numbers.com/movie/Bloodshot-(2020),True,bloodshot,2020,Bloodshot,"China, United States of America"
tt1634122,Johnny English Reborn,2011.0,https://www.the-numbers.com/movie/Johnny-English-Reborn,True,johnny english reborn,2011,Johnny English Reborn,"United Kingdom, United States of America"
tt16366836,Venom: The Last Dance,2024.0,https://www.the-numbers.com/movie/Venom-The-Last-Dance-(2024),True,venom the last dance,2024,Venom: The Last Dance,United States of America
tt1636826,Project X,2012.0,https://www.the-numbers.com/movie/Project-X,True,project x,2012,Project X,United States of America
tt16374352,The Blind,2023.0,https://www.the-numbers.com/movie/Blind-The-(2023),True,the blind,2023,The Blind,United States of America
tt1637688,In Time,2011.0,https://www.the-numbers.com/movie/In-Time,True,in time,2011,In Time,United States of America
tt1637706,Our Idiot Brother,2011.0,https://www.the-numbers.com/movie/Our-Idiot-Brother,True,our idiot brother,2011,Our Idiot Brother,United States of America
tt1637725,Ted,2012.0,https://www.the-numbers.com/movie/Teddy-Bear,True,ted,2012,Ted,United States of America
tt16377888,Calendar Girls,2022.0,https://www.the-numbers.com/movie/Calendar-Girls,True,calendar girls,2022,Calendar Girls,United States of America
tt1638355,The Man from U.N.C.L.E.,2015.0,https://www.the-numbers.com/movie/Man-from-U-N-C-L-E-The,True,the man from uncle,2015,The Man from U.N.C.L.E.,United States of America
tt16419074,Air,2023.0,https://www.the-numbers.com/movie/Air-(2023),True,air,2023,Air,United States of America
tt16426418,Challengers,2024.0,https://www.the-numbers.com/movie/Challengers-(2024),True,challengers,2024,Challengers,"Italy, United States of America"
tt1645170,The Dictator,2012.0,https://www.the-numbers.com/movie/Dictator-The,True,the dictator,2012,The Dictator,United States of America
tt1646971,How to Train Your Dragon 2,2014.0,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2-(2014),True,how to train your dragon 2,2014,How to Train Your Dragon 2,United States of America
tt1646987,Wrath of the Titans,2012.0,https://www.the-numbers.com/movie/Wrath-of-the-Titans,True,wrath of the titans,2012,Wrath of the Titans,"Spain, United States of America"
tt1647668,Million Dollar Arm,2014.0,https://www.the-numbers.com/movie/Million-Dollar-Arm,True,million dollar arm,2014,Million Dollar Arm,United States of America
tt1648179,Here Comes the Boom,2012.0,https://www.the-numbers.com/movie/Here-Comes-the-Boom,True,here comes the boom,2012,Here Comes the Boom,United States of America
tt1648190,The Dark Tower,2017.0,https://www.the-numbers.com/movie/Dark-Tower-The,True,the dark tower,2017,The Dark Tower,United States of America
tt1649419,The Impossible,2012.0,https://www.the-numbers.com/movie/Impossible-The,True,the impossible,2012,The Impossible,"Spain, United States of America"
tt1650043,Diary of a Wimpy Kid: Rodrick Rules,2011.0,https://www.the-numbers.com/movie/Diary-of-a-Wimpy-Kid-Rodrick-Rules,True,diary of a wimpy kid rodrick rules,2011,Diary of a Wimpy Kid: Rodrick Rules,United States of America
tt1650062,Super 8,2011.0,https://www.the-numbers.com/movie/Super-8,True,super 8,2011,Super 8,United States of America
tt1655420,My Week with Marilyn,2011.0,https://www.the-numbers.com/movie/My-Week-with-Marilyn,True,my week with marilyn,2011,My Week with Marilyn,"United Kingdom, United States of America"
