tconst,primaryTitle,startYear,the_numbers_url,found_url
tt5253294,Penny Pincher!,2016.0,,False
tt5259966,No Manches Frida,2016.0,https://www.the-numbers.com/movie/No-Manches-Frida,True
tt5266678,Surprise,2015.0,,False
tt5273624,Journey to the West: The Demons Strike Back,2017.0,,False
tt5290882,Detective Chinatown,2015.0,,False
tt5294550,All the Money in the World,2017.0,https://www.the-numbers.com/movie/All-the-Money-in-the-World,True
tt5297596,Ex-Files 2: The Backup Strikes Back,2015.0,,False
tt5297654,Devil and Angel,2015.0,https://www.the-numbers.com/movie/E-gun-tian-shi,True
tt5308322,Happy Death Day,2017.0,https://www.the-numbers.com/movie/Happy-Death-Day,True
tt5311514,Your Name.,2016.0,https://www.the-numbers.com/movie/Your-Name,True
tt5317732,The Little Prince,2015.0,,False
tt5322012,Wish Upon,2017.0,https://www.the-numbers.com/movie/Wish-Upon-(2017),True
tt5323662,A Silent Voice: The Movie,2016.0,,False
tt5325452,Boo! A Madea Halloween,2016.0,,False
tt5328340,Lights Out,2016.0,https://www.the-numbers.com/movie/Lights-Out-(2016),True
tt5354664,Time Raiders,2016.0,,False
tt5360952,The Hurricane Heist,2018.0,https://www.the-numbers.com/movie/Hurricane-Heist-The,True
tt5362988,Wind River,2017.0,https://www.the-numbers.com/movie/Wind-River-(2017),True
tt5390504,Detroit,2017.0,https://www.the-numbers.com/movie/Detroit-(2017),True
tt5425144,Mission Milano,2016.0,,False
tt5431016,Os Dez Mandamentos - O Filme,2016.0,,False
tt5433138,F9: The Fast Saga,2021.0,https://www.the-numbers.com/movie/F9-The-Fast-Saga-(2021),True
tt5433140,Fast X,2023.0,https://www.the-numbers.com/movie/Fast-X-(2023),True
tt5439796,Logan Lucky,2017.0,https://www.the-numbers.com/movie/Logan-Lucky,True
tt5442430,Life,2017.0,https://www.the-numbers.com/movie/Life-(2017),True
tt5456546,Judwaa 2,2017.0,,False
tt5462602,The Big Sick,2017.0,https://www.the-numbers.com/movie/Big-Sick-The-(2017),True
tt5463162,Deadpool 2,2018.0,https://www.the-numbers.com/movie/Deadpool-2,True
tt5471154,Boonie Bears: The Big Top Secret,2016.0,,False
tt5477354,"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!",2016.0,,False
tt5478478,Hostiles,2017.0,https://www.the-numbers.com/movie/Hostiles-(2017),True
tt5481184,League of Gods,2016.0,,False
tt5500148,Welcome to Germany,2016.0,,False
tt5503266,Spirits' Homecoming,2016.0,https://www.the-numbers.com/movie/Gwi-hyang,True
tt5503686,Hustlers,2019.0,https://www.the-numbers.com/movie/Hustlers-(2019),True
tt5523010,The Nutcracker and the Four Realms,2018.0,https://www.the-numbers.com/movie/Nutcracker-and-the-Four-Realms-The-(2018),True
tt5537002,Killers of the Flower Moon,2023.0,https://www.the-numbers.com/movie/Killers-of-the-Flower-Moon-(2023),True
